aspect,records,review_status,canonical_aspect,suggested_cluster,reviewed_cluster,suggested_path,ontology_path,thesis_note
remediasi dan pemulihan,1,needs_review,long-term conservation goals,Other,Financial Sustainability,,Manual review -> long-term conservation goals,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kapasitas pemurnian emas,1,needs_review,komitmen terhadap transformasi bisnis berkelanjutan,Other,Financial Sustainability,,Manual review -> komitmen terhadap transformasi bisnis berkelanjutan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
fasilitas produksi,1,needs_review,restrukturisasi untuk keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> restrukturisasi untuk keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
praktik bisnis berkelanjutan,1,needs_review,solidaritas untuk keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> solidaritas untuk keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
budaya perusahaan,1,needs_review,kinerja keberlanjutan 2022,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> kinerja keberlanjutan 2022,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
stabilitas operasional,1,needs_review,solidaritas,Other,Financial Sustainability,,Manual review -> solidaritas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
reporting-framework,1,needs_review,sinergi lingkungan,Other,Financial Sustainability,,Manual review -> sinergi lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
reporting-standards,1,needs_review,sosial dan lingkungan,Other,Community Relations,,GRI 413 Local Communities -> sosial dan lingkungan,"Community impact, CSR, and stakeholder-engagement wording map to GRI 413 Local Communities 2016."
operasional pertambangan,1,needs_review,tujuan transformasi,Other,Financial Sustainability,,Manual review -> tujuan transformasi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pendapatan perusahaan,1,needs_review,pendekatan keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> pendekatan keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
total aset,1,needs_review,prinsip solidaritas,Other,Financial Sustainability,,Manual review -> prinsip solidaritas,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
produksi emas,1,needs_review,kesadaran dampak,Other,Financial Sustainability,,Manual review -> kesadaran dampak,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
esg overview,1,needs_review,kinerja 2022,Other,Financial Sustainability,,Manual review -> kinerja 2022,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
environmental/social,1,needs_review,perencanaan keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> perencanaan keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
reporting framework,1,needs_review,tujuan optimasi,Other,Financial Sustainability,,Manual review -> tujuan optimasi,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen esg triple bottom line,1,needs_review,fokus kinerja 2021,Other,Financial Sustainability,,Manual review -> fokus kinerja 2021,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
visi bank,1,needs_review,struktur anak usaha,Other,Financial Sustainability,,Manual review -> struktur anak usaha,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
misi bank,1,needs_review,kinerja 2025,Other,Financial Sustainability,,Manual review -> kinerja 2025,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
ekspansi internasional,1,needs_review,mecanisme jabatan,Other,Financial Sustainability,,Manual review -> mecanisme jabatan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komposisi gender dan independensi,1,needs_review,penetapan masa jabatan,Other,Financial Sustainability,,Manual review -> penetapan masa jabatan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pemberian laporan esg,1,needs_review,pertimbangan keberagaman,Other,Financial Sustainability,,Manual review -> pertimbangan keberagaman,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
reporting_structure,1,needs_review,manfaat keberagaman,Other,Financial Sustainability,,Manual review -> manfaat keberagaman,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
forward_looking_statement,1,needs_review,governance and sustainability,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> governance and sustainability,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pengurangan kecelakaan kerja,1,needs_review,solidarity and sustainability awareness,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> solidarity and sustainability awareness,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
kompetensi modal manusia,1,needs_review,performance and sustainability transformation,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> performance and sustainability transformation,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pokok laporan esg,1,needs_review,sustainability competency development,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability competency development,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
inovasi dan perbaikan,1,needs_review,biodiversity impact risk,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity impact risk,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
kualitas dan produktivitas,1,needs_review,biodiversity management action,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity management action,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
kerjasama tim,1,needs_review,operational location assessment,Other,Financial Sustainability,,Manual review -> operational location assessment,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
produk simpanan syariah,1,needs_review,precautionary principle application,Other,Financial Sustainability,,Manual review -> precautionary principle application,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen masa depan,1,needs_review,impact management actions,Other,Financial Sustainability,,Manual review -> impact management actions,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kinerja dan risiko operasional,1,needs_review,mangrove planting program,Other,Financial Sustainability,,Manual review -> mangrove planting program,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kepercayaan nasabah dan stabilitas operasional,1,needs_review,program goals,Other,Financial Sustainability,,Manual review -> program goals,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kepercayaan nasabah dan stabilitas,1,needs_review,inspeksi lokasi insiden,Other,Financial Sustainability,,Manual review -> inspeksi lokasi insiden,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
keanggotaan asosiasi,1,needs_review,investigasi insiden,Other,Financial Sustainability,,Manual review -> investigasi insiden,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
manfaat asosiasi,1,needs_review,rekomendasi tindakan perbaikan,Other,Financial Sustainability,,Manual review -> rekomendasi tindakan perbaikan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
penguatan internal,1,needs_review,implementasi rekomendasi perbaikan,Other,Financial Sustainability,,Manual review -> implementasi rekomendasi perbaikan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komitmen terhadap rakb,1,needs_review,pelaksanaan p5m dan hse talk,Other,Financial Sustainability,,Manual review -> pelaksanaan p5m dan hse talk,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
konteks pembangunan berkelanjutan,1,needs_review,hasil restrukturisasi untuk nilai berkelanjutan,Other,Financial Sustainability,,GRI 201 Economic Performance 2016 -> hasil restrukturisasi untuk nilai berkelanjutan,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
ulang tahun perusahaan,1,needs_review,harapan mewujudkan komitmen keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> harapan mewujudkan komitmen keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
pengembangan operasional tambang,1,needs_review,menjaga sinergi lingkungan,Other,Financial Sustainability,,Manual review -> menjaga sinergi lingkungan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
strategi dampak jangka panjang,1,needs_review,sustainable value and stakeholder benefits,Other,Community Relations,,GRI 413 Local Communities -> sustainable value and stakeholder benefits,Long-term value creation and sustainable-growth wording map to GRI 201 Economic Performance 2016.
operasi quarry,1,needs_review,"sustainability performance focus on economic value distribution, environmental impact reduction, and community empowerment",Other,Community Relations,,"GRI 413 Local Communities -> sustainability performance focus on economic value distribution, environmental impact reduction, and community empowerment",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
lokasi operasi,1,needs_review,training hours per employee,Other,Human Capital,,GRI 401-404 Employment and Training -> training hours per employee,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
cadangan material,1,needs_review,new employees hired,Other,Human Capital,,GRI 401-404 Employment and Training -> new employees hired,Existing workforce mapping was normalized to the employment standard.
pembahasan lingkup esg,1,needs_review,women on board,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> women on board,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
produk private label,1,needs_review,biodiversity in mining areas,Other,Biodiversity & Land,,GRI 304 Biodiversity -> biodiversity in mining areas,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
dukungan ukm,1,needs_review,waste management,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> waste management,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
transparansi dan aksesibilitas informasi,1,needs_review,hazardous waste recycling rate,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> hazardous waste recycling rate,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
pengembangan sdm inklusif,1,needs_review,board gender diversity percentage,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> board gender diversity percentage,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
komposisi jabatan,1,needs_review,ohs risk management through hierarchy of control,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> ohs risk management through hierarchy of control,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
stabilitas inflasi,1,needs_review,training coverage for all workers,Other,Human Capital,,GRI 401-404 Employment and Training -> training coverage for all workers,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
tonggak sejarah perusahaan,1,needs_review,continuous training and ohs performance evaluation,Other,Human Capital,,GRI 401-404 Employment and Training -> continuous training and ohs performance evaluation,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
kendaraan listrik untuk pengiriman,1,needs_review,training effectiveness measurement approach,Other,Human Capital,,GRI 401-404 Employment and Training -> training effectiveness measurement approach,"Training, competence, and workforce-development wording map to GRI 404 Training and Education 2016."
armada pengiriman,1,needs_review,level 1 evaluation results,Other,Financial Sustainability,,Manual review -> level 1 evaluation results,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
beban umum dan administrasi,1,needs_review,level 3 evaluation results,Other,Financial Sustainability,,Manual review -> level 3 evaluation results,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pendapatan lainnya,1,needs_review,critical safety training topics,Other,Human Capital,,GRI 401-404 Employment and Training -> critical safety training topics,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
beban lainnya,1,needs_review,emisi scope 1 & 2,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> emisi scope 1 & 2,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
laba usaha,1,needs_review,layanan kesehatan kerja,Other,Financial Sustainability,,Manual review -> layanan kesehatan kerja,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
struktur modal,1,needs_review,sustainable goals,Other,Financial Sustainability,,Manual review -> sustainable goals,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
belanja modal,1,needs_review,sustainability and stakeholder collaboration,Other,Human Capital,,GRI 401-404 Employment and Training -> sustainability and stakeholder collaboration,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
sistem penilaian vqsms,1,needs_review,cultural and environmental synergy,Other,Financial Sustainability,,Manual review -> cultural and environmental synergy,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kategori risiko rendah-sedang,1,needs_review,sustainable business growth,Other,Financial Sustainability,,Manual review -> sustainable business growth,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kategori risiko tinggi-ekstrem,1,needs_review,restructuring and transformation for sustainability,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> restructuring and transformation for sustainability,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
milestone perusahaan,1,needs_review,solidarity and commitment to sustainability,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> solidarity and commitment to sustainability,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
komitmen kemajuan,1,needs_review,governance and risk management in sustainability,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> governance and risk management in sustainability,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pertumbuhan dan kepemimpinan pasar,1,needs_review,company profile,Other,Financial Sustainability,,Manual review -> company profile,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
transaksi pihak berelasi,1,needs_review,waste reduction initiatives,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> waste reduction initiatives,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
transaksi dan benturan kepentingan,1,needs_review,used oil waste reduction,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> used oil waste reduction,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
pengelolaan sdm,1,needs_review,used diesel reutilization,Other,Financial Sustainability,,Manual review -> used diesel reutilization,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pengembangan sdm inklusif dan berkelanjutan,1,needs_review,non-hazardous waste recycling partnership,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> non-hazardous waste recycling partnership,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
keberagaman workforce,1,needs_review,progress in sustainability capacity building,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> progress in sustainability capacity building,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
kinerja industri ritel,1,needs_review,definition of terms,Other,Financial Sustainability,,Manual review -> definition of terms,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kinerja sektor,1,needs_review,supergrow aspiration as sustainability compass,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> supergrow aspiration as sustainability compass,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
tantangan industri,1,needs_review,belief in sustainability through innovation and social care,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> belief in sustainability through innovation and social care,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
perilaku konsumen,1,needs_review,commitment to implement supergrow,Other,Financial Sustainability,,Manual review -> commitment to implement supergrow,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
proyeksi dan target,1,needs_review,sustainability as standard behavior,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> sustainability as standard behavior,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
strategi merchandising,1,needs_review,reporting period and strategic initiatives,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> reporting period and strategic initiatives,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
evaluasi berkala untuk kepuasan pelanggan,1,needs_review,regulatory compliance for sustainable finance,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> regulatory compliance for sustainable finance,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
penggunaan standar gri,1,needs_review,esg contact information,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> esg contact information,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
efisiensi dan keamanan,1,needs_review,third-party funds growth,Other,Financial Sustainability,,Manual review -> third-party funds growth,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
target ti,1,needs_review,net interest income growth,Other,Financial Sustainability,,Manual review -> net interest income growth,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kebijakan struktur modal,1,needs_review,pre-tax profit,Other,Financial Sustainability,,GRI 201 Economic Performance -> pre-tax profit,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
kematangan ti,1,needs_review,inclusive financing growth,Other,Financial Sustainability,,Manual review -> inclusive financing growth,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
sistem manajemen keamanan informasi,1,needs_review,macroprudential inclusive financing ratio,Other,Financial Sustainability,,Manual review -> macroprudential inclusive financing ratio,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
assesment kerentanan,1,needs_review,digital customers growth,Other,Governance & Ethics,,Governance / Data and Technology -> digital customers growth,Existing governance-oriented mapping was normalized to the canonical GRI 2 path.
sistem keamanan siber,1,needs_review,women in leadership positions,Other,Financial Sustainability,,Manual review -> women in leadership positions,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
kelolaan produk,1,needs_review,female employee percentage,Other,Human Capital,,GRI 401-404 Employment and Training -> female employee percentage,Existing workforce mapping was normalized to the employment standard.
product management,1,needs_review,tjsl funding realization,Other,Financial Sustainability,,Manual review -> tjsl funding realization,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
organizational resilience,1,needs_review,financial literacy activities count,Other,Financial Sustainability,,GRI 201 Economic Performance -> financial literacy activities count,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
perjalanan bisnis dan pencapaian,1,needs_review,financial literacy participants count,Other,Financial Sustainability,,GRI 201 Economic Performance -> financial literacy participants count,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
sistem manajemen,1,needs_review,electricity consumption,Other,Energy & Climate,,GRI 302 Energy 2016 -> electricity consumption,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
pengurangan kertas,1,needs_review,scope 2 emissions,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> scope 2 emissions,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
perjalanan bisnis dan pertumbuhan,1,needs_review,total waste disposed,Other,Waste & Pollution,,GRI 306 Waste / GRI 303 Water -> total waste disposed,"Waste generation, recycling, and waste-management wording map to GRI 306 Waste 2020."
kebijakan dividen,1,needs_review,commitment to equal service for consumers,Other,Financial Sustainability,,Manual review -> commitment to equal service for consumers,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
struktur dan mekanisme gcg,1,needs_review,pencapaian target dan komitmen infrastruktur,Other,Financial Sustainability,,Manual review -> pencapaian target dan komitmen infrastruktur,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
informasi forward-looking,1,needs_review,optimasi biaya untuk daya saing,Other,Financial Sustainability,,Manual review -> optimasi biaya untuk daya saing,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pokok pembahasan esg,1,needs_review,"kinerja keberlanjutan aspek ekonomi, lingkungan, dan sosial",Other,Community Relations,,"GRI 413 Local Communities -> kinerja keberlanjutan aspek ekonomi, lingkungan, dan sosial",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
governansi perusahaan,1,needs_review,kinerja positif dan peningkatan kontrak,Other,Financial Sustainability,,Manual review -> kinerja positif dan peningkatan kontrak,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
akuntabilitas dan kinerja berkelanjutan,1,needs_review,keselamatan kerja di ketinggian,Other,Human Capital,,GRI 401-404 Employment and Training -> keselamatan kerja di ketinggian,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
keterbukaan informasi,1,needs_review,keselamatan kerja pemeliharaan,Other,Human Capital,,GRI 401-404 Employment and Training -> keselamatan kerja pemeliharaan,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
integritas operasional,1,needs_review,keselamatan penebangan,Other,Human Capital,,GRI 401-404 Employment and Training -> keselamatan penebangan,Existing workforce mapping was narrowed to GRI 403 because the aspect is safety-specific.
pokus laporan esg,1,needs_review,ipo dan transformasi menjadi perusahaan terbuka,Other,Financial Sustainability,,Manual review -> ipo dan transformasi menjadi perusahaan terbuka,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
komite pengawas,1,needs_review,implementasi supergrow,Other,Financial Sustainability,,Manual review -> implementasi supergrow,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pemisahan fungsi pengawasan,1,needs_review,pengentasan kemiskinan melalui literasi keuangan,Other,Financial Sustainability,,GRI 201 Economic Performance -> pengentasan kemiskinan melalui literasi keuangan,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
implementasi gcg,1,needs_review,kesetaraan gender dalam kepemimpinan,Other,Human Capital,,Manual review -> kesetaraan gender dalam kepemimpinan,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
fungsi rups,1,needs_review,komitmen transformasi bisnis dan ekosistem berkelanjutan,Other,Biodiversity & Land,,GRI 101 Biodiversity 2024 -> komitmen transformasi bisnis dan ekosistem berkelanjutan,"Biodiversity and land-rehabilitation wording should redirect to GRI 101 Biodiversity 2024, which supersedes GRI 304."
pencapaian perusahaan,1,needs_review,pembenahan menyeluruh termasuk tata kelola dan manajemen risiko,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> pembenahan menyeluruh termasuk tata kelola dan manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
material berkelanjutan,1,needs_review,promosi solidaritas sebagai prinsip keberlanjutan,Other,Governance & Ethics,,GRI 3 Material Topics 2021 -> promosi solidaritas sebagai prinsip keberlanjutan,Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
inovasi dan efisiensi bisnis,1,needs_review,pencapaian positif dan komitmen infrastruktur nasional,Other,Financial Sustainability,,Manual review -> pencapaian positif dan komitmen infrastruktur nasional,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
check and balance,1,needs_review,"pencapaian kinerja keberlanjutan di aspek ekonomi, lingkungan, dan sosial",Other,Community Relations,,"GRI 413 Local Communities -> pencapaian kinerja keberlanjutan di aspek ekonomi, lingkungan, dan sosial",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
puncak sejarah perusahaan,1,needs_review,"fokus kinerja keberlanjutan pada distribusi ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat",Other,Community Relations,,"GRI 413 Local Communities -> fokus kinerja keberlanjutan pada distribusi ekonomi, pengurangan dampak lingkungan, dan pemberdayaan masyarakat",Cross-cutting sustainability or ESG wording should route through GRI 3 Material Topics to determine the downstream topic standard.
keberagaman dan inklusi,1,needs_review,keahlian dewan dalam ekonomi dan manajemen risiko,Other,Governance & Ethics,,GRI 201 Economic Performance -> keahlian dewan dalam ekonomi dan manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
perayaan ulang tahun perusahaan,1,needs_review,keahlian dewan dalam operasional dan manajemen risiko,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> keahlian dewan dalam operasional dan manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
pelaksanaan keputusan rups,1,needs_review,total emissions (scope 1 & 2) in 2025,Other,Governance & Ethics,,GRI 305 Emissions / TCFD Climate -> total emissions (scope 1 & 2) in 2025,Reporting scope and disclosure framing align with GRI 2 General Disclosures.
struktur komite pendukung,1,needs_review,energy intensity within organization,Other,Energy & Climate,,GRI 305 Emissions / TCFD Climate -> energy intensity within organization,"Energy consumption, intensity, or renewable-energy operations stay under GRI 302 Energy 2016 in the current transition period."
sistem pengendalian,1,needs_review,percentage of women in board of commissioners,Other,Governance & Ethics,,GRI 2 General Disclosures 2021 -> percentage of women in board of commissioners,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
strategi jangka panjang,1,needs_review,occupational health and safety culture,Other,Human Capital,,GRI 403 Occupational Health and Safety 2018 -> occupational health and safety culture,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
praktik bisnis adil,1,needs_review,emergency response team support,Other,Financial Sustainability,,Manual review -> emergency response team support,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
pencegahan praktik tidak adil,1,needs_review,kepatuhan etik karyawan,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> kepatuhan etik karyawan,"Compliance, ethics, whistleblowing, and anti-corruption controls map to GRI 205 Anti-corruption 2016."
penunjukan auditor,1,needs_review,penggunaan pemasok lokal,Other,Supply Chain,,GRI 308/414 Supplier Assessment -> penggunaan pemasok lokal,Supplier screening and sustainable supply-chain controls map to GRI 308 Supplier Environmental Assessment 2016.
kebijakan rangkap jabatan,1,needs_review,jumlah fatality,Other,Financial Sustainability,,Manual review -> jumlah fatality,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
environmental-commitment,1,needs_review,penghargaan isea untuk ck,Other,Financial Sustainability,,Manual review -> penghargaan isea untuk ck,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
business-strategy,1,needs_review,penghargaan zero accident untuk ssb,Other,Financial Sustainability,,Manual review -> penghargaan zero accident untuk ssb,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
company-profile,1,needs_review,penghargaan zero accident hours untuk atr,Other,Financial Sustainability,,Manual review -> penghargaan zero accident hours untuk atr,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
workforce diversity and inclusion,1,needs_review,pengurangan dampak lingkungan operasi,Other,Waste & Pollution,,GRI 3 Material Topics 2021 -> pengurangan dampak lingkungan operasi,"Generic environmental-management wording is broader than a single topic standard, so it should pass through GRI 3 Material Topics before assigning the specific environmental node."
workforce-diversity,1,needs_review,keahlian direksi di bidang keuangan dan manajemen risiko,Other,Governance & Ethics,,GRI 205 Anti-corruption / GRI 2 Governance -> keahlian direksi di bidang keuangan dan manajemen risiko,"Governance structure, board oversight, and enterprise-risk framing belong under GRI 2 General Disclosures."
operational-efficiency,1,needs_review,economic,Other,Financial Sustainability,,GRI 201 Economic Performance -> economic,"Economic value, financial performance, and financial-inclusion wording map to GRI 201 Economic Performance 2016."
business-scale,1,needs_review,ohs management procedures,Other,Human Capital,,GRI 403 Occupational Health and Safety 2018 -> ohs management procedures,"Worker safety, health, and accident-prevention wording map to GRI 403 Occupational Health and Safety 2018."
operational,1,needs_review,incident investigation team formation,Other,Financial Sustainability,,Manual review -> incident investigation team formation,No strong standards-based signal was found in the aspect label; keep for manual review or split into a more specific GRI topic.
